1	0,32,41,42,42,42,42,42,42,42,41,36,11,10,11,11,10,12,12,11,11,11,11,12,11,10,11,11,11,11,11,11,11,20,29,32,34,35,36,38,39,40,41,37,32,28,24,19,14,10,10,9,9,9,9,9,8,8,8,8,8,9,9,9,8,8,9,15,20,21,21,20,21,21,22,23,24,25,27,29,32,39,37,35,33,31,29,27,23,20,14,0,0,0,0,2,8,47,57,59,62,63,65,66,67,69,68,63,44,37,36,34,32,32,32,32,30,30,30,30,32,32,32,32,34,35,35,38,39,43,56,62,60,58,56,54,52,49,45
2	0,0,0,9,19,23,26,29,32,35,35,37,34,30,27,27,25,24,25,23,23,22,22,23,23,22,22,22,23,23,23,24,23,23,23,24,23,23,24,24,24,24,23,23,24,24,24,24,23,23,23,23,24,24,24,25,25,25,25,24,24,24,24,25,24,25,25,24,24,24,24,24,25,25,25,25,25,26,28,29,32,35,38,36,35,33,31,29,26,23,19,8,18,53,61,66,69,72,75,77,79,81,82,83,66,30,27,25,24,22,21,20,21,20,20,19,19,20,20,21,21,22,23,25,27,30,40,74,82,81,79,78,76,74,71,67,64,59,37
3	11,11,10,12,13,17,23,27,30,32,34,35,36,37,30,27,27,25,25,23,23,22,23,23,22,22,22,22,22,23,23,23,22,22,23,23,23,23,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,23,23,23,24,23,23,23,23,22,23,24,24,24,24,25,27,26,28,29,31,38,37,36,34,32,30,28,25,20,17,46,62,69,71,74,77,80,82,83,84,85,75,32,28,26,24,22,22,21,21,20,20,20,21,21,21,22,21,22,24,25,26,27,32,70,82,82,80,78,76,74,70,67,64,60,45,3
4	0,0,0,1,13,19,23,27,29,31,33,35,36,29,26,25,24,23,21,20,19,19,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,21,22,23,24,28,35,34,30,24,24,25,21,18,11,0,0,1,0,0,0,0,0,22,55,60,64,67,69,71,73,75,77,70,26,24,23,21,19,19,20,18,18,18,18,18,19,17,18,18,19,19,20,21,22,21,23,26,76,74,73,72,70,67,65,61
5	0,0,0,1,11,18,22,26,28,30,32,34,36,32,26,26,23,22,22,20,21,20,20,20,20,19,19,19,20,20,20,20,19,20,20,20,20,20,19,20,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,23,24,26,29,35,35,33,31,29,27,24,20,16,9,0,0,0,0,0,53,59,63,68,70,71,73,75,77,71,27,25,23,22,22,21,20,21,20,20,19,18,20,19,19,20,19,19,20,22,23,24,25,28,79,78,76,74,72,70,66,64,59,52
6	0,1,18,39,40,40,40,40,40,40,40,39,11,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,15,26,30,32,33,35,36,36,37,38,31,27,24,19,14,10,11,10,10,10,9,9,9,9,9,10,10,10,9,9,9,9,9,13,18,19,19,20,20,20,21,21,23,23,24,26,31,36,34,32,30,28,26,22,20,14,6,0,0,0,6,11,55,58,59,61,63,63,65,66,61,57,37,32,31,31,29,29,29,29,28,29,29,30,28,28,29,29,30,32,33,35,36,42,57,55,55,54,50,48,44,37,23,3,0,0
7	0,0,1,4,7,9,12,13,13,13,13,13,13,14,12,13,13,13,12,13,13,12,13,12,12,12,12,11,12,11,12,11,12,11,11,11,11,11,11,11,11,10,20,27,29,31,32,35,36,37,38,38,34,30,27,25,24,22,23,21,21,20,19,19,19,19,19,19,19,19,19,19,19,19,21,21,22,22,24,25,26,28,32,36,36,34,32,30,28,25,22,17,0,0,0,0,18,27,34,40,45,49,52,56,59,62,52,50,48,49,47,45,42,40,41,38,37,36,36,35,36,37,37,36,37,37,35,36,37,38,47,45,42,39,37,35,31,29,24
8	11,16,15,17,17,16,11,14,14,14,14,14,14,14,13,13,14,13,13,12,12,12,12,12,12,12,12,11,12,11,12,11,11,11,12,11,11,11,11,10,11,11,22,26,29,30,32,34,35,36,37,39,34,29,28,25,24,24,22,22,20,20,20,20,19,19,19,19,19,20,20,20,20,19,19,21,24,23,24,27,27,33,37,36,34,32,30,28,25,21,17,11,0,0,0,10,22,29,34,40,46,51,55,59,63,58,52,54,51,50,53,50,46,47,46,42,40,37,37,38,38,37,37,38,38,37,37,39,37,40,49,45,41,37,35,32,27,26,21
9	3,6,9,12,13,15,15,15,15,15,14,14,14,14,13,13,14,13,13,13,13,13,13,12,13,12,13,12,13,12,12,12,11,12,12,11,11,11,11,13,25,29,30,32,33,35,36,38,39,39,32,27,27,25,24,23,22,22,22,21,20,21,21,21,21,21,21,21,21,20,21,22,22,22,24,24,26,28,30,38,36,35,34,32,29,27,24,19,16,8,0,0,0,0,8,21,30,36,41,46,50,54,57,60,62,53,49,49,47,48,45,44,42,40,41,40,39,39,38,39,38,38,39,38,39,37,38,40,42,48,45,42,38,36,33,30,26,22,14
10	0,0,0,0,0,0,5,7,10,13,15,16,15,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,14,13,13,13,13,13,12,13,12,13,12,12,13,13,13,27,30,31,33,35,37,38,39,40,40,32,30,27,25,24,24,22,22,21,20,20,20,19,19,19,19,20,20,20,21,20,22,22,23,23,25,26,29,33,38,38,36,34,31,29,26,23,0,0,0,16,25,32,38,42,47,50,54,56,59,61,54,51,48,47,47,47,42,40,39,37,37,35,36,36,36,35,36,37,37,35,36,37,38,39,47,47,44,42,38,36,34,31,28
