1	18,56,55,51,56,47,20,64,33,32,32,23,23,64,3,0,0,0,23,64,0,0,0,0,24,64,51,54,38,4,17,62,45,29,58,49,0,3,0,0,20,56,0,0,0,0,11,56,18,34,0,0,14,56,27,62,10,0,37,56,3,49,62,58,64,27,0,1,20,24,12,0
2	0,19,37,36,14,0,23,64,45,42,64,19,47,49,0,0,41,50,56,34,0,0,36,56,56,38,0,0,37,56,56,38,0,0,40,56,57,37,0,0,40,55,64,40,0,0,41,51,64,35,0,0,47,48,52,47,1,6,59,43,16,63,56,59,61,14,0,9,28,28,11,0
3	32,19,32,33,8,0,20,64,53,53,61,10,52,48,0,1,50,40,56,32,0,0,43,48,62,32,0,0,42,49,64,32,0,0,48,50,64,32,0,0,48,48,64,30,0,0,48,46,64,26,0,0,49,45,58,40,0,6,60,38,25,64,50,58,61,9,0,18,32,31,9,0
4	0,4,27,33,19,0,4,54,53,41,61,31,26,56,3,0,21,56,32,51,0,0,8,56,32,56,0,0,8,56,26,56,0,0,8,56,25,56,0,0,8,56,24,56,0,0,8,56,24,56,0,0,8,56,8,63,22,7,39,52,0,20,57,64,39,7,0,0,0,0,1,0
5	0,6,29,31,12,0,8,58,52,45,63,18,35,49,0,0,35,49,40,37,0,0,24,56,40,38,0,0,24,56,40,38,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,27,56,9,2,45,45,3,40,64,63,55,9,0,0,11,13,1,0
6	29,46,40,42,45,16,40,52,32,32,32,11,40,40,0,0,0,0,40,39,0,0,0,0,40,56,51,49,21,0,33,56,28,34,63,12,0,0,0,0,47,31,0,0,0,0,40,35,35,18,0,0,42,32,46,48,5,12,60,18,10,56,64,64,34,0,0,1,13,6,0,0
7	0,0,0,14,31,1,0,0,8,58,38,0,0,0,50,50,1,0,0,20,63,10,0,0,0,48,41,0,0,0,6,64,50,47,27,1,20,64,49,35,61,36,30,57,1,0,25,56,32,48,0,0,16,56,27,58,3,0,29,56,4,58,54,44,63,31,0,8,31,32,21,0
8	0,33,38,13,32,1,0,0,8,58,43,1,0,0,46,51,3,0,0,20,63,10,0,0,0,48,40,0,0,0,6,64,53,47,25,0,22,64,47,37,62,31,33,54,1,0,29,55,40,41,0,0,18,56,30,57,4,0,32,54,4,54,60,54,64,21,0,3,25,32,14,0
9	0,0,0,41,47,0,0,0,28,63,21,0,0,10,62,32,0,0,0,44,54,1,0,0,5,63,24,0,0,0,22,64,64,63,42,3,36,62,24,20,58,36,43,43,0,0,30,54,45,41,0,0,26,56,29,61,17,11,54,42,2,46,64,64,52,8,0,0,10,13,1,0
10	0,0,0,3,9,0,0,0,1,48,60,6,0,0,38,63,15,0,0,17,64,28,0,0,0,50,52,0,0,0,9,64,44,24,10,0,25,64,61,56,63,25,37,61,6,0,35,56,40,48,0,0,12,56,34,58,1,0,22,56,8,61,48,34,59,49,0,9,32,32,31,5
11	0,25,55,57,35,1,20,64,39,36,63,32,43,46,0,0,35,55,48,40,0,0,25,56,48,40,0,0,24,56,44,40,0,0,24,56,40,40,0,0,24,56,42,40,0,0,24,56,47,45,0,0,24,56,38,54,1,0,31,56,12,63,50,42,63,36,0,16,32,32,28,1
12	18,40,40,54,16,0,32,60,40,42,60,35,35,40,0,0,24,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,23,55,40,58,48,49,63,30,21,32,32,32,19,0
13	0,12,37,39,16,0,6,63,56,54,64,19,27,57,3,0,46,45,32,48,0,0,33,48,25,61,7,6,54,37,2,59,64,64,63,7,23,63,29,23,59,28,41,45,0,0,32,50,42,35,0,0,27,54,35,50,1,1,46,43,9,61,54,54,63,15,0,8,31,32,11,0
14	0,8,30,31,11,0,12,63,56,52,63,17,37,50,1,0,43,49,48,32,0,0,24,56,48,32,0,0,26,56,48,32,0,0,32,56,48,32,0,0,32,56,48,32,0,0,32,53,48,32,0,0,32,48,43,44,0,3,48,43,13,62,54,55,61,13,0,11,31,31,9,0
15	0,22,39,35,8,0,21,64,58,61,58,6,45,46,1,6,59,29,55,32,0,0,48,38,44,50,2,14,60,25,12,63,64,64,53,1,42,58,28,36,64,19,61,29,0,0,52,39,64,19,0,0,46,40,58,35,0,9,58,32,30,64,51,59,58,6,0,22,32,31,8,0
16	22,32,32,34,12,0,40,56,40,47,63,17,40,32,0,0,37,49,40,32,0,0,20,56,40,33,0,1,43,44,40,61,52,59,64,13,40,47,20,24,50,41,40,40,0,0,18,56,40,40,0,0,16,56,40,40,0,0,18,56,40,51,24,25,55,41,20,32,32,32,30,3
17	0,11,36,38,15,0,10,61,49,47,63,17,33,49,0,0,47,41,39,42,0,0,34,43,25,58,4,1,51,30,1,54,60,57,61,3,15,63,25,21,58,27,35,41,0,0,30,48,40,34,0,0,24,56,34,48,0,0,34,47,10,61,44,36,63,22,0,11,32,32,21,0
18	24,41,54,41,18,0,40,56,38,43,64,20,40,36,0,0,35,50,40,37,0,0,24,56,40,40,0,5,50,43,40,64,62,64,64,15,40,48,16,19,51,43,40,40,0,0,19,56,40,40,0,0,17,56,39,40,0,0,25,56,40,54,32,35,60,38,20,32,32,32,30,3
19	0,16,43,43,18,0,15,63,43,43,64,21,42,41,0,0,39,50,13,15,0,0,34,53,0,0,0,4,59,32,0,0,0,40,56,3,0,0,16,64,19,0,0,2,54,42,0,0,0,31,60,7,0,0,12,63,26,0,0,0,43,64,38,38,40,34,24,32,32,32,32,28
20	0,18,46,47,24,0,12,63,42,40,64,17,36,50,0,0,43,41,40,45,0,0,36,48,26,60,7,4,55,32,1,59,64,62,63,4,23,63,25,20,59,30,42,43,0,0,32,52,48,35,0,0,27,56,40,48,0,0,44,47,15,63,48,47,64,21,0,15,32,32,21,0
21	0,2,24,32,15,0,2,49,60,51,64,32,26,61,6,0,28,56,14,29,0,0,17,56,0,0,0,0,43,52,0,0,0,23,64,17,0,0,5,57,40,0,0,0,45,56,3,0,0,23,64,17,0,0,4,59,37,0,0,0,36,64,39,32,32,31,20,32,32,32,32,28
22	24,40,40,46,44,22,40,59,48,49,63,31,40,40,0,0,32,56,43,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,1,42,54,48,64,64,64,64,23,22,32,32,31,15,0
23	20,40,40,47,43,20,32,58,40,40,59,41,32,48,0,0,19,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,33,43,0,0,16,56,34,40,0,0,23,56,40,62,48,49,62,33,17,32,32,32,18,0
24	0,0,0,18,14,0,0,0,20,63,43,0,0,9,61,43,1,0,0,44,53,2,0,0,6,63,42,30,12,0,24,64,61,58,64,26,35,58,6,0,38,55,40,48,0,0,16,56,40,48,0,0,16,56,33,58,3,0,27,56,7,58,56,44,63,32,0,8,31,32,23,0
25	0,0,5,30,1,0,0,4,54,63,15,0,0,43,61,15,0,0,12,64,27,0,0,0,38,64,41,35,9,0,52,64,45,53,61,11,64,33,0,1,53,37,64,24,0,0,40,40,64,26,0,0,42,40,51,51,12,17,60,29,10,57,64,64,46,2,0,1,14,9,0,0
26	0,0,0,11,0,0,0,0,28,64,26,0,0,20,64,37,1,0,2,58,45,0,0,0,24,64,30,21,3,0,42,64,61,62,58,10,53,50,3,4,53,44,56,32,0,0,32,56,56,32,0,0,32,56,49,49,2,2,49,46,14,61,60,60,60,13,0,8,29,25,6,0
27	14,18,24,24,24,5,59,59,56,56,56,17,56,24,0,0,0,0,56,24,0,0,0,0,56,48,48,45,17,0,51,58,29,43,63,12,0,4,0,0,52,37,0,0,0,0,48,40,31,12,0,0,48,40,55,43,1,10,61,26,15,60,60,63,46,2,0,4,16,12,0,0
28	42,48,48,49,37,7,56,45,32,41,61,13,56,24,0,0,41,42,50,24,0,0,34,48,48,36,16,23,59,27,48,64,64,64,64,11,48,35,0,2,45,46,48,36,0,0,24,56,44,40,0,0,24,56,40,41,0,0,36,51,40,64,60,62,61,15,9,16,16,16,4,0
29	0,0,3,41,15,0,0,3,49,63,23,0,0,38,63,19,0,0,12,64,33,0,0,0,36,64,52,47,27,0,53,64,47,51,64,27,64,41,0,1,54,51,64,32,0,0,48,56,64,32,0,0,46,55,54,58,18,16,62,42,15,60,64,64,56,8,0,5,22,20,2,0
30	0,0,7,37,6,0,0,6,58,58,12,0,0,49,58,10,0,0,19,64,19,0,0,0,44,64,54,51,19,0,61,63,44,53,63,15,64,31,0,3,60,38,64,24,0,0,56,40,64,24,0,0,56,35,60,51,13,25,64,24,20,61,64,64,48,1,0,6,20,14,0,0
31	29,40,40,40,22,0,48,53,40,41,61,24,48,32,0,0,34,47,48,32,0,0,30,48,48,32,0,0,31,48,48,32,0,0,32,48,48,32,0,0,31,51,48,32,0,0,24,54,48,32,0,0,24,56,48,32,0,0,33,48,48,53,40,43,63,27,24,32,32,32,24,0
32	0,0,13,48,7,0,0,9,60,36,1,0,0,50,44,0,0,0,19,62,6,0,0,0,43,63,56,50,18,0,57,58,24,36,62,9,64,21,0,0,50,30,64,14,0,0,40,32,64,14,0,0,48,32,54,39,2,13,60,19,17,61,64,64,42,0,0,5,22,14,0,0
33	28,37,25,2,9,8,48,53,40,39,58,22,48,32,0,0,36,49,48,32,0,0,32,48,48,32,0,0,32,48,48,32,0,0,32,51,54,32,0,0,32,52,56,32,0,0,32,48,56,32,0,0,32,50,56,32,0,0,39,46,56,55,45,48,64,21,28,32,32,32,18,0
34	20,56,56,56,56,49,24,64,32,31,32,28,21,63,0,0,0,0,16,64,0,0,0,0,24,64,44,48,27,0,19,63,50,41,63,26,0,4,1,0,38,53,0,0,0,0,20,56,19,26,0,0,26,56,30,57,3,0,44,51,6,58,57,52,64,22,0,8,31,32,19,0
35	0,0,1,40,27,0,0,0,42,61,20,0,0,23,64,19,0,0,0,54,38,2,0,0,15,64,52,51,33,1,30,64,50,40,62,34,40,54,1,0,25,56,40,44,0,0,16,56,40,44,0,0,16,56,33,58,6,0,34,54,5,56,63,56,64,23,0,5,29,32,12,0
36	29,48,48,48,48,29,40,52,25,24,24,15,40,40,0,0,0,0,40,40,0,0,0,0,40,58,52,47,16,0,32,59,30,40,61,8,0,0,0,0,54,29,0,0,0,0,40,35,49,16,0,0,47,31,48,45,2,14,62,17,13,58,64,64,41,0,0,3,16,12,0,0
37	48,58,61,56,51,18,56,40,24,24,24,11,56,24,0,0,0,0,56,24,6,4,0,0,56,61,64,63,37,0,40,46,12,21,63,19,0,0,0,0,49,32,0,0,0,0,48,32,40,12,0,0,48,32,58,41,2,17,62,18,19,61,64,64,40,0,0,4,16,9,0,0
38	41,47,43,34,5,0,62,47,40,52,58,5,56,16,0,1,53,29,56,16,0,0,43,35,56,23,8,21,62,19,56,64,64,64,56,1,56,24,8,15,58,26,56,16,0,0,40,38,56,17,0,0,40,40,56,22,0,1,48,35,56,59,56,58,59,9,20,24,24,23,6,0
39	0,21,40,31,4,0,33,61,39,45,53,2,62,23,0,0,54,23,64,11,0,0,48,32,64,11,0,0,48,32,64,15,0,0,48,32,64,16,0,0,48,32,64,16,0,0,48,32,64,16,0,0,48,32,57,32,0,3,56,20,20,63,51,60,47,1,0,8,23,18,1,0
